portrange 0-6000	portrange 0-5	host 178.79.150.233	host 178.79.150.234	net 178.79.150.0/24	net 178.79.151.0/24
23.495756994213	22.048039284042	27.421035265415	25.166376193843	28.150451574273	25.292697946049
23.494817643002	22.257564884583	27.330855166778	25.101379741932	27.907616438356	25.078461339976
23.488713690458	22.05946484628	27.316971133733	25.235489733962	27.90539234731	25.352627282321
23.609197577593	22.282883314375	27.454663830464	25.015633573773	27.994353613687	25.152098180515
23.484489734752	22.120306988178	27.165956640161	25.244313243624	28.077599163888	25.377386694304
23.609432740674	22.110805897395	27.371499291375	25.108612706425	27.937955039595	25.198498249953
23.400561451012	22.132250162476	27.281101406601	25.176656371426	28.071172677335	25.27286801703
23.643816895929	22.27888183886	27.476513071505	25.053125905499	27.720743435149	25.224406069076
23.432752502093	22.144779508741	27.337121212121	25.169133466136	28.147361698731	25.26475704859
23.619313822208	22.18680205063	27.282186983944	25.09813873108	27.944086429113	25.23271790468
23.493643559607	22.007486428983	27.399392558846	25.195734540451	28.098855452291	25.351617720259
23.447010124183	22.287998403114	27.456301318118	25.113852973037	27.999390280471	25.059385556377
23.483551284229	22.113898379588	27.4694082546	25.195483324193	27.962217630442	25.387000299073
22.585693128846	22.158622742608	27.384618457053	25.123840486772	28.101654728579	25.322627156566
23.647591112708	22.209529682045	27.349389179756	25.126088772223	27.932383383523	25.245322037623
23.46034850995	21.935731568318	27.391456337831	25.224909660804	28.120424276258	25.260968660969
23.296233372975	22.276214986833	27.320236695822	25.073167804966	27.971711019022	25.082942081493
23.469483521201	22.049357014075	27.867359729407	25.038865588177	27.674685609678	25.192971437117
23.511774391938	22.137974106311	28.349901687776	25.006901503969	27.92737079279	25.109860190586
23.495052473763	22.063422608072	28.185611510791	25.090911798874	27.96528831563	25.212829006445
