portrange 0-6000	portrange 0-5	host 178.79.150.233	host 178.79.150.234	net 178.79.150.0/24	net 178.79.151.0/24
27.234232713334	28.057770350919	27.016070036577	37.099269359967	24.809060810946	39.519984819128
27.119958964552	28.201109722569	27.188471062827	37.28858170801	24.657482517482	39.645148747807
27.252635867675	28.120143949438	26.873193232201	36.847080953045	24.743425763845	39.423125971386
27.12698381071	28.361790931512	26.970868497167	37.092614185627	24.780395242744	39.88697136355
26.572372401678	28.69768392099	26.923510547178	36.702531393263	24.787308451069	39.681545124336
26.227201951781	29.162238852199	26.948471284878	37.222179112199	24.904568931267	39.532224386833
26.425066949119	28.914229863964	26.794862066556	37.015436758281	24.793978413179	39.582009476031
26.186412609737	29.267308784127	26.812530597157	35.829955022489	24.71884066611	39.472677214053
26.402114553278	27.677163865755	20.903372825913	36.517495414307	24.96059888108	39.900910615864
27.358119768961	28.25064897606	26.973209207651	37.097790225961	24.883807709102	39.779370483187
27.075462880099	28.316551854769	26.981555045414	36.982159802619	24.867585614042	39.792442120986
27.390362047441	28.422300621118	26.9264604811	37.055315505466	24.804855675756	39.731897886796
27.187656638476	27.667803893094	26.909574150391	36.74134525211	24.911497039304	39.830517597105
27.259137038178	28.32050451169	26.690134261561	36.998421057891	24.857646729682	39.51524895644
26.988019886988	27.96724273919	27.064159907761	37.10111844335	24.930073476043	39.776994744386
27.195803078275	28.189836606206	26.824858813534	36.729619212894	24.740719009497	39.479372237576
27.158640706976	28.230432838046	27.069810214044	37.177461243407	24.727685671119	39.803143488914
26.794862066555	28.194344771063	26.868652533023	36.589352244919	24.811782540616	39.787291662518
27.1971612929	28.386734092204	27.075732113559	37.227734495488	24.901353619417	39.752154267549
27.351571304617	28.241660452399	27.002307392647	37.07968040169	24.878622810934	39.742222088968
