portrange 0-6000	portrange 0-5	host 178.79.150.233	host 178.79.150.234	net 178.79.150.0/24	net 178.79.151.0/24
26.496369820779	21.755627392261	33.29797020298	24.405224654148	32.525631847919	24.211672065786
26.561355932203	21.733357988166	33.323242673246	24.317003654564	32.752308917197	24.169512437811
26.463732988974	21.748726184104	33.158057192927	24.431523387612	32.706107595253	24.112410411166
26.489519945909	21.642072260376	33.253083029607	24.400847035376	32.637258814374	24.129177096992
26.392365269461	21.767931024219	33.193090524889	24.406197671637	32.68029609798	24.065110565111
26.547857021853	21.780032362781	33.29996800128	24.396470986769	32.639538248177	24.148127528855
26.539658504513	21.73096872845	33.383685469404	24.332952399881	32.734391008107	24.167348197674
26.42031490399	21.742906694416	33.244451987102	24.416905986997	32.734716613285	24.139008417224
26.533843273176	21.688700700221	33.344804244602	24.471077931682	32.614156821694	24.104035803241
26.493734834321	21.737268819354	33.295306844768	24.399388178086	32.691726543216	24.093276994187
26.555795895176	21.780897258982	33.185151968111	24.390152797976	32.598232257808	24.210706774711
26.531465049346	21.751313624016	33.199708890794	24.36224616701	32.75882938483	24.235345765113
26.498214623181	21.737486129023	33.206992142316	24.411550654996	32.76665737385	24.134931044076
26.525389302641	21.707321699545	33.295639741244	24.435912021236	32.696300960491	24.199370367419
26.454272833793	21.761237849633	33.350448028674	24.372673342225	32.723649669875	24.08603988604
26.553149076557	21.742268041237	33.247771088547	24.431279620853	32.621636983706	24.15533169582
26.574338410589	21.825749587155	33.320590868398	24.313140440067	32.722348168476	23.975312695902
26.458213743035	21.806442635497	33.197723103916	24.421045807694	32.787876976418	24.157253533033
26.532257743253	21.67572821341	33.385681822712	24.444694020166	32.670504933488	24.200816977184
26.424010791367	21.735747773324	33.351112128876	24.358853197776	32.776774065037	24.055019767581
