accept all	ip	tcp	tcp src port 80	src net 178.79.150.0/24
76.000759954403	28.721154997008	26.178577839832	15.688244018193	18.785339686535
75.753372504347	29.816126144051	24.416419041541	15.608143101868	18.437893214176
74.999620132953	25.433907615481	26.117367295159	15.709523479501	18.751996809094
75.993161094225	28.755859355496	26.270190531063	15.794592818961	18.64158050734
76.127366454539	29.855926125157	25.416392199134	15.650228693551	18.748070903037
75.902093153311	29.70547214047	26.148848422059	15.220971469557	18.842114135555
76.333742993315	29.799524737512	25.149344639178	15.722287730007	18.239473032539
75.518386832591	29.639530948257	25.950088647184	15.503912781092	18.728279488507
75.500289565651	29.596811228294	25.8128238148	15.462012669105	18.426209218278
67.688591059801	29.482099073059	26.203927205934	15.4248706729	18.658967108201
75.919530930049	28.498769368741	26.009414090188	15.682196898566	18.725295734257
75.587084520418	29.519760084629	25.121093128678	15.766499731712	18.811707983526
76.211905070678	29.840171646472	26.224084878517	15.255925874154	18.60434078458
75.690595764649	29.605050956997	26.062910192126	15.666500049985	18.138685331953
75.996200455945	29.666995466547	26.090369648838	15.776846438372	18.804875853725
74.967395431563	29.114242109883	26.189286533837	14.250946743203	18.521941218039
75.67623981792	29.571701357647	26.088295218502	15.677393538188	18.26389605237
76.354341568721	29.730980838551	26.078446177537	15.760235602615	17.856528545667
73.589880904804	29.471817864793	25.874319707624	15.670573177073	18.715232578969
75.657358708995	28.660552193646	26.086221118013	14.992376351781	18.38277693475
