accept all	ip	tcp	tcp src port 80	src net 178.79.150.0/24
84.891469539777	35.481667993631	33.277007784317	22.122296622027	24.62672985782
86.306362019702	36.054689443157	33.432664956634	21.533902963074	24.849701340472
82.784480433197	34.704959640095	33.44234455493	22.153127325034	24.774719420019
86.515897599872	36.008111969151	31.83869295123	22.298012980529	25.056630924662
87.408117631792	36.420971611355	33.67792493378	21.452863813307	24.165184345092
63.262980552917	35.419961639128	33.542808219178	22.337924401079	24.999421723265
83.89921528693	36.037633602288	33.477772891723	22.185259142253	24.576461216768
85.335504820902	34.695635734044	33.578911700219	22.28021550434	24.982484108164
86.88740372224	36.265455015975	32.550875621891	22.134020618557	24.745394684491
86.279640449439	36.064377127162	33.488817795551	21.51820487727	24.387966495025
84.239052132701	35.435537388315	33.088534847228	21.816634183207	23.539560843355
86.399349385808	35.416423605562	33.058466976893	22.136218552368	24.845730550285
83.463080484544	35.939893707186	33.739503997292	22.269772729539	24.86456040142
86.586182812328	34.976518937467	33.453031997763	22.151369367046	24.86137288017
86.135611852295	35.95925574899	32.475197491286	22.263334197356	24.918676644505
87.061352695604	36.11253388074	33.752945629115	21.519064453632	24.81574248636
86.638049978535	36.088798820928	33.603023895959	22.169401673765	23.732217157725
86.529731566428	36.216109528806	33.731444155792	22.304248816444	25.010643073025
84.017485978225	35.949572121043	33.610733702429	22.017555900374	24.795708248614
85.949297379415	34.604704778634	33.713658973338	22.316680535743	25.054127239481
