accept all	ip	tcp	tcp src port 80	src net 178.79.150.0/24
74.310386135846	33.989688871161	31.277655253625	21.001965572696	24.294083797164
74.757465258699	34.175830201282	31.659147819667	21.992836491172	23.422245693048
74.109653719841	33.981894858578	31.434555965315	21.71252396549	24.135890302067
72.396767684839	34.216764650104	31.623812893004	21.819671805072	24.102839905535
75.0813578608	32.850061388886	31.488223724278	21.838784814159	24.049737488272
74.252568578554	34.082133429326	30.529226650149	21.903976518275	24.047817234565
70.490089261618	33.082583017718	31.224682945296	18.920162502863	24.062226616334
74.248865393247	34.127177700349	31.483822986234	21.05631307602	24.028391922214
74.824742268041	34.168676740292	31.508042279412	21.879729541058	23.563430127944
74.285172544558	33.748912015137	31.429543778526	21.175827118375	24.087484629457
72.15497414602	34.082133429326	31.632323916988	21.946609690564	23.350584589099
74.447970074813	33.668501993545	31.216908029721	19.531771908309	24.183709839607
75.176654007595	34.093576266298	31.710397202099	22.01339565412	23.416645913234
74.426291793313	33.985283120457	31.503321313342	20.550365678203	23.748725541831
73.444061187763	33.930476332686	30.816874763526	21.539284286286	23.985097953333
74.492554147121	25.03186646434	29.39683565061	21.48387804343	23.713849115391
72.884758104738	26.670506042296	28.674822250105	21.968172525357	24.297458745547
74.920232472215	33.924735249622	30.420427056891	21.770090991179	24.099731126787
74.123712060702	33.789965401374	31.269853938862	20.751059322034	24.348679958236
74.690309121942	34.27646544182	31.63137802143	21.887369187641	23.371479135804
