accept all	ip	tcp	tcp port 5555	portrange 0-6000
73.254628300804	22.650501363826	21.03062530418	13.647556995637	11.650499785307
73.47540777127	22.729931131221	20.941539676557	13.530122577727	11.608767897476
73.377705501298	22.625025452077	21.053395167548	13.618802490968	11.649918121181
73.417283195944	22.816834200336	20.877460453797	13.553384524238	11.609345459611
73.276975254365	23.147519517494	20.593345688818	13.626357711803	11.268698810076
73.165376621515	22.902530949826	20.908888888889	13.540250561413	11.580192752429
73.286180904523	22.641710088396	21.085737005711	13.228672502154	11.604841998468
73.292100043973	22.575773993808	20.989385816573	13.610064800611	11.657018393997
73.298677987094	22.60048233847	20.927828949139	13.553620696665	11.582262019398
73.313153618974	22.54001004598	20.922762405179	13.288412804173	11.480487276878
72.861850850664	20.75785503327	20.916948286526	13.496862112247	11.567333908371
73.204725538705	22.597199356975	20.970145766307	13.595236430586	11.652594257178
73.476068806679	22.602890464567	20.829192962411	13.506002199456	11.574907983373
72.507364365172	22.90485398773	20.724117411963	13.433690270582	11.490550242769
72.321803659032	23.125725951913	20.864393140078	13.467883342279	11.491908396947
73.198164446914	22.870954462588	20.57047145527	13.476050221191	11.578813651836
72.395528804815	23.135126560316	18.138677279935	12.62126448905	11.664010717107
73.538921454748	23.29960359065	20.51188466948	13.550078974264	11.585252266476
72.930168595514	23.140403419346	20.875405934925	13.410220454702	11.660863133908
73.387595924016	22.817429171176	20.940600012564	13.54150780248	11.609229942587
