accept all	ip	tcp	tcp port 5555	portrange 0-6000
102.62056429151	44.841957998955	43.75663588205	20.426594301221	18.776812153985
102.81751152976	46.947319287289	41.393824893785	20.383947446582	18.760055634612
101.12819623819	46.988159484495	41.231813121764	20.411585125832	18.766241495231
102.88904131065	46.648114829475	41.392723466908	20.420516500538	18.75477824752
102.89206588733	46.865098492882	41.472544855104	20.394815274488	18.75507973251
102.5163677546	46.857946102253	43.747201859802	19.528261779228	18.762921745843
102.73401819783	46.979077745744	43.72097206348	19.359600434743	18.542111327427
101.22373355184	46.713110881559	39.458405553254	20.373802725899	18.748298663838
102.77122135985	46.986267166042	41.30004690307	20.398559339814	18.786638434227
102.0262925213	46.708248594808	41.394559210935	20.361180433151	18.770015363949
102.70688693917	46.50957724582	43.563031485405	19.497422271242	18.795869379601
89.502591203546	39.066004804916	43.481854857494	20.267801615565	18.692279346973
102.28668283702	45.889888590617	43.701320348348	20.340237099024	18.715367340391
101.40261897404	46.460034445341	43.397751471587	20.362957274504	18.641953807192
92.880308880308	42.793672917335	43.75909760054	20.41908695538	18.662379832686
102.84470127326	46.959034670402	43.57075903277	20.38750939242	18.757039621231
102.81751152976	46.898253850854	43.595994320305	20.391428970917	18.746792425545
102.82758012868	46.694789081886	43.647777330927	20.413727943171	18.03103267085
102.59850505643	46.897499799019	43.751303108711	20.426057879165	18.783462665422
102.62357310399	46.844400189511	43.754174440517	20.406765431235	18.765034177724
