accept all	ip	tcp	tcp port 5555	portrange 0-6000
97.526135899246	45.655543489958	37.087464437274	18.14375466534	16.677497051781
97.559662179112	45.625191862113	36.809856211006	18.113754744956	16.619175818697
97.857879090053	45.682357893088	37.050071053739	18.184476309227	16.709024639995
97.600468462439	45.783642196345	37.003655277952	18.094230769231	16.714650010028
97.85149566676	45.681463572205	36.98459392633	18.181359180938	16.696948880875
97.215531607599	45.747289587704	37.02596732861	18.124025227576	16.725312690392
97.336287287492	45.710994661834	36.990456865667	18.208599297698	16.622964366621
97.943680101484	45.613597490055	36.994855290173	18.079930576002	16.71872178835
97.172348695169	45.846159891545	36.274252846761	17.95210069164	16.451272217091
96.205486229454	44.771664572081	36.930157474084	17.997794077948	16.741992882562
97.4745323741	45.624745815736	37.076267954748	18.190288355849	16.668562040146
97.498969340192	45.66537178195	36.981370101827	18.11248932702	16.753412166771
97.743104748253	45.823201924493	36.924605780566	18.184759737527	16.67630516348
97.891633882126	43.779622698149	36.566718380267	17.969381468704	16.616335540839
96.656240507378	45.300562997476	36.831063057375	18.035492348122	16.461601410935
97.239838866508	45.482014248263	36.796795660264	17.838875892543	16.585156438796
96.99910395093	45.501969501969	36.844147949315	18.087077846075	16.80674738366
97.193035719245	45.412529435805	36.83484218253	18.047349085425	16.905007534485
97.310128165921	45.052603125875	36.768674414024	18.091284762872	16.876885912254
97.013442722914	45.420927131693	36.516075522484	18.025461174798	16.957095517702
