accept all	ip	tcp	tcp port 5555	icmp
94.256435400833	70.523969807306	69.522259592781	70.010288346854	69.675969554186
92.749343832021	70.6042659468	69.775232979138	69.928792935677	69.665238228979
95.635043032685	68.527836448057	69.751814223512	69.739794483897	70.090057242863
95.692169844193	68.425998433829	69.703760107328	69.973973973974	69.784098231221
95.617918287357	70.569923459555	67.672648226214	69.672181650146	69.980979076985
95.814268768005	70.257202116093	67.223443369835	70.100280786201	69.817679959323
95.748411133027	70.111785838029	69.839874297236	67.730467717784	70.040260142459
95.332460525272	70.388400172093	69.955512695712	68.212334113974	69.928156999691
95.611260320302	70.090696126956	69.773966698426	70.194990140948	67.745982520439
95.552330205185	70.262979952119	70.019851026244	70.0491928725	69.692388565628
95.444164200743	70.513622316573	70.007101367469	70.019213433013	70.074727517953
95.461226759891	70.214219186588	70.077920657632	70.13480727485	69.599029706196
95.331515001239	63.476546284765	65.560330127549	69.926249261129	69.553702263148
95.760812170603	70.700342953817	69.735367202945	70.035156748092	69.86843061714
95.463122976382	70.264264044739	69.925613371406	69.695546955016	69.860813315405
95.697886279233	70.693843028014	69.697442126062	69.725882064907	69.978431604525
95.843886484653	70.665257547213	69.965697023738	69.713871260199	69.870335202129
95.892652267171	70.33560484793	69.893198323895	70.074088924936	69.502779409771
93.053740330903	70.288670725243	69.926249261128	70.083669042454	70.002002803926
95.695980725003	70.197553405148	69.731572838073	70.079197994988	69.864621758646
