accept all	ip	tcp	tcp port 5555	icmp
93.396428085586	69.677863660665	68.529668645171	68.593857325091	58.992915512223
83.099933716943	66.929879534851	64.737758705295	68.612831266173	67.960334435155
95.252157884827	69.382370721936	68.260170973555	67.546622862112	68.41077926353
87.414965986395	69.884305332134	68.592633560208	68.622628375605	68.977197294533
95.303157999108	69.713239227206	67.577491277563	68.682696773732	69.071996406916
95.85135894693	59.043131060506	62.607101648863	68.834561226043	68.898705255141
95.843886484654	69.568175443993	68.225649033769	68.169398664881	68.37549684774
94.394359004577	69.79043193349	68.078867453453	68.818543876135	68.62752797958
95.066563804324	69.539235103141	67.79854694223	67.768073536799	68.329926955409
95.499165408155	70.038984224141	68.582845012888	68.76254180602	68.377320907733
95.177644868697	69.427475057559	68.584680152699	68.745943336343	54.349501936652
93.290368918093	69.799301048428	68.693741178152	68.734267734554	66.732060500868
95.618869501204	69.874144683635	68.59630498586	68.761926904951	68.729352878084
92.592093094944	69.99244499868	68.415648661394	68.768076410564	68.788377585343
93.42093753341	69.999453800637	68.52295106802	69.003194658818	68.668589646273
96.237859880032	67.768670791251	68.560830992823	68.852435530086	69.077580940746
95.971164118898	67.80213385063	68.637329286798	68.866001540418	68.745328732098
95.95583463946	69.616673004146	66.459827337561	68.89808791642	68.662457919975
96.049804638707	70.194349354146	66.453263274336	68.801918362234	68.928968410485
95.737920455791	69.773333575305	68.667363213402	66.713533558743	68.886977710886
