accept all	ip	tcp	tcp port 5555	icmp
71.476482617587	54.216656795555	29.393659069885	29.628328131623	48.418100915121
71.572284895193	54.154545369179	29.197891827033	29.683685523035	48.713794588933
71.513043478261	54.187619799301	29.946567382736	29.047007449268	48.691173739045
71.491102474944	54.113386004091	29.907664543029	29.174627986918	48.660771541395
71.436640654032	53.877802690583	29.98744257513	29.038232050875	48.697752182798
71.431331747919	54.245214692188	29.898361497127	28.823582331244	48.698574613254
71.397506012126	54.221244429402	30.030540432877	29.130859744963	48.733141794829
71.46585374921	54.110847352668	29.915111149151	29.007122163206	48.749619611158
71.492431849455	54.174385180454	30.057069593633	29.135274816044	48.826801452846
71.387563362237	54.082430721621	29.885346951784	29.120489593117	48.699808311026
71.396843082637	54.217166494312	29.969677364035	29.135274816044	48.693229311786
71.123443772315	54.171840802562	29.857264890891	29.13152192032	48.686652089859
70.291883392905	54.150985915493	29.979726147032	29.152285341664	48.733553604475
71.553636566664	54.042393687801	29.867470441092	29.076443718426	48.735612757111
71.345172484181	54.176420854861	29.863990492539	29.759507094037	47.147173661389
71.651648853397	54.044419454596	29.870254983918	29.663989383454	47.315670811551
71.374973313655	54.105770764338	30.034528552457	29.765497379361	47.261230430336
71.333259119076	54.241643309945	29.890923226433	29.651635393289	48.45104974418
70.730908622625	54.089024779126	29.859815624539	29.592524745616	48.582476180848
71.156351791531	52.614062457235	25.378136468849	26.851103454698	43.784734243181
